============================================================
EXPERIMENT: k=3 Confirmation
============================================================

Config [FULL]: k=3, d=40, L=219, V=44, n=20000, layers=2, d_model=128, heads=4, dropout=0.2, epochs=50, patience=15

-- DENSE --
  graph ep26: train=0.077 | val=0.061 | best=0.066 | bad=3/15 | lr=0.00052 | 5.6s
  graph ep27: train=0.091 | val=0.060 | best=0.066 | bad=4/15 | lr=0.00048 | 5.9s
  graph ep28: train=0.064 | val=0.066 | best=0.066 | bad=5/15 | lr=0.00045 | 5.6s
  graph ep29: train=0.081 | val=0.070 | best=0.070 | bad=0/15 | lr=0.00042 | 5.9s
  graph ep30: train=0.059 | val=0.063 | best=0.070 | bad=1/15 | lr=0.00038 | 5.6s
  graph ep31: train=0.078 | val=0.065 | best=0.070 | bad=2/15 | lr=0.00035 | 5.9s
  graph ep32: train=0.111 | val=0.069 | best=0.070 | bad=3/15 | lr=0.00032 | 5.6s
  graph ep33: train=0.083 | val=0.069 | best=0.070 | bad=4/15 | lr=0.00029 | 5.9s
  graph ep34: train=0.053 | val=0.069 | best=0.070 | bad=5/15 | lr=0.00026 | 5.6s
  graph ep35: train=0.103 | val=0.071 | best=0.071 | bad=0/15 | lr=0.00023 | 5.8s
  graph ep36: train=0.097 | val=0.068 | best=0.071 | bad=1/15 | lr=0.00020 | 5.7s
  graph ep37: train=0.097 | val=0.073 | best=0.073 | bad=0/15 | lr=0.00018 | 5.7s
  graph ep38: train=0.094 | val=0.072 | best=0.073 | bad=1/15 | lr=0.00015 | 5.8s
  graph ep39: train=0.097 | val=0.073 | best=0.073 | bad=0/15 | lr=0.00013 | 5.6s
  graph ep40: train=0.102 | val=0.072 | best=0.073 | bad=1/15 | lr=0.00011 | 5.9s
  graph ep41: train=0.106 | val=0.073 | best=0.073 | bad=0/15 | lr=0.00009 | 5.6s
  graph ep42: train=0.122 | val=0.072 | best=0.073 | bad=1/15 | lr=0.00007 | 5.9s
  graph ep43: train=0.097 | val=0.075 | best=0.075 | bad=0/15 | lr=0.00005 | 5.6s
  graph ep44: train=0.094 | val=0.071 | best=0.075 | bad=1/15 | lr=0.00004 | 5.9s
  graph ep45: train=0.098 | val=0.075 | best=0.075 | bad=2/15 | lr=0.00003 | 5.6s
  graph ep46: train=0.098 | val=0.074 | best=0.075 | bad=3/15 | lr=0.00002 | 5.9s
  graph ep47: train=0.084 | val=0.075 | best=0.075 | bad=4/15 | lr=0.00001 | 5.6s
  graph ep48: train=0.080 | val=0.074 | best=0.075 | bad=5/15 | lr=0.00000 | 5.9s
  graph ep49: train=0.087 | val=0.074 | best=0.075 | bad=6/15 | lr=0.00000 | 5.6s
  graph ep50: train=0.108 | val=0.075 | best=0.075 | bad=7/15 | lr=0.00000 | 5.9s
  graph allowed ~4.2%
  graph FINAL full-val acc = 0.075

k=3: dense=5.4%, window=4.2%, graph=7.5%
